Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,cactus,Código da CREDE,CREDE,Escola,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,Muito Crítico,Crítico,Intermediário,Adequado,Alunos Previstos,Alunos Efetivos,Percentual de Participação,Taxa de Participação,Proficiência Padronizada,Fator de Ajuste,Número de Alunos no Muito Crítico,Número de Alunos no Crítico,Número de Alunos no Intermediário,Número de Alunos no Adequado,IDE EF MT,IDE Médio EF
2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2017,237.94,6.8,242.15,4.7,não cactus,3,ACARAU,JOAQUIM TIAGO DO NASCIMENTO EEIEF,244.810063181088,32.082769142566498,Crítico,20,70,10,0,10,10,100,1,3.4905031590544202,0.47499999999999998,2,7,1,0,1.65798900055085,2.4874003672863298
2300200,Acaraú,23000490,Joaquim Tiago Do Nascimento Eeief,Municipal,2019,249.08,6.4,NA,NA,não cactus,3,ACARAU,JOAQUIM TIAGO DO NASCIMENTO EEIEF,274.09143895229101,62.104990352723199,Crítico,30,30,20,20,10,10,100,1,4.9545719476145704,0.57499999999999996,3,3,2,2,2.84887886987838,3.1897448545119498
2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2017,197.92,5.3,254.55,4.7,cactus19,3,ACARAU,DEPUTADO JOSE FILOMENO EEIEF,250.32502779833899,48.2734859833364,Crítico,36.1111111111111,36.1111111111111,16.6666666666667,11.1111111111111,34,36,105.88235294117599,1,3.7662513899169698,0.50694444444444398,13,13,6,4,1.9092802184995801,3.1933545931849099
2300200,Acaraú,23000520,Deputado Jose Filomeno Eeief,Municipal,2019,242.85,6.4,265.55,5,cactus19,3,ACARAU,DEPUTADO JOSE FILOMENO EEIEF,266.969050755468,52.418486500050598,Crítico,27.027027027027,21.6216216216216,37.837837837837803,13.5135135135135,34,37,108.82352941176499,1,4.5984525377734196,0.59459459459459496,10,8,14,5,2.7342150224598698,3.6067884515679398
2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2017,239.67,6.7,280.91,5.5,cactus19,3,ACARAU,MANOEL EDGAR DA SILVEIRA EEIEF,282.21021597760898,42.664162772601102,Intermediário,10.714285714285699,32.142857142857103,39.285714285714299,17.8571428571429,55,56,101.818181818182,1,5.3605107988804601,0.66071428571428603,6,18,22,10,3.54176606354602,3.9188869337041101
2300200,Acaraú,23000562,Manoel Edgar Da Silveira Eeief,Municipal,2019,263.64,7.5,289.94,5.9,cactus19,3,ACARAU,MANOEL EDGAR DA SILVEIRA EEIEF,279.534862288684,54.317220895457403,Intermediário,19.2982456140351,29.824561403508799,29.824561403508799,21.052631578947398,57,57,100,1,5.22674311443419,0.63157894736842102,11,17,17,12,3.3011009143794898,4.4479859598020299
2300200,Acaraú,23000570,Herminia Franklina Da Silveira Eeief,Municipal,2017,NA,NA,280.06,5.8,cactus19,3,ACARAU,HERMINIA FRANKLINA DA SILVEIRA EEIEF,280.539935024908,48.762583551287598,Intermediário,9.6153846153846203,38.461538461538503,32.692307692307701,19.230769230769202,52,52,100,1,5.2769967512453899,0.65384615384615397,5,20,17,10,3.45034402966045,4.0882350039266502
2300200,Acaraú,23000570,Herminia Franklina Da Silveira Eeief,Municipal,2019,NA,NA,271.54,5.4,cactus19,3,ACARAU,HERMINIA FRANKLINA DA SILVEIRA EEIEF,275.14986830858101,53.015488910897702,Intermediário,18.518518518518501,35.802469135802497,28.395061728395099,17.283950617283899,81,81,100,1,5.0074934154290602,0.61111111111111105,15,29,23,14,3.06013486498443,3.5389070786575898
2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2017,234.08,6.1,250.12,4.8,cactus19,3,ACARAU,MARIA LEONETE BRANDAO EEIEF PROFª,239.694671015019,46.577504705900701,Crítico,36,44,16,4,25,25,100,1,3.23473355075097,0.47,9,11,4,1,1.52032476885295,2.0743445095811701
2300200,Acaraú,23000651,Maria Leonete Brandao Eeief Profª,Municipal,2019,222.61,6,244.77,4.8,cactus19,3,ACARAU,MARIA LEONETE BRANDAO EEIEF PROFª,261.40753793642699,40.656528380785701,Crítico,15.789473684210501,52.631578947368403,26.315789473684202,5.2631578947368398,19,19,100,1,4.3203768968213598,0.55263157894736803,3,10,5,1,2.3875767061381201,2.8969545161463701
2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2017,216.38,5.8,287.18,5.9,não cactus,3,ACARAU,MARIA NAZARE VIANA EEIEF,292.00258132441797,51.201250029818198,Intermediário,5.5555555555555598,33.3333333333333,38.8888888888889,22.2222222222222,18,18,100,1,5.8501290662208998,0.69444444444444398,1,6,7,4,4.0625896293200698,4.2111633852860102
2300200,Acaraú,23000660,Maria Nazare Viana Eeief,Municipal,2019,252.25,7.1,256.78,4.9,não cactus,3,ACARAU,MARIA NAZARE VIANA EEIEF,285.55678602540502,52.988371126211803,Intermediário,10.526315789473699,31.578947368421101,21.052631578947398,36.842105263157897,20,19,95,0.95,5.5278393012702498,0.71052631578947401,2,6,4,7,3.7312915283574202,3.4812205403446801
2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2017,247.48,6.6,271.06,5.3,cactus19,3,ACARAU,HIGINO DE SOUZA BRANDAO EEIEF,277.571062934954,54.390037566637602,Intermediário,14.285714285714301,33.3333333333333,33.3333333333333,19.047619047619001,21,21,100,1,5.1285531467476897,0.64285714285714302,3,7,7,4,3.2969270229092298,3.8041724866791902
2300200,Acaraú,23000708,Higino De Souza Brandao Eeief,Municipal,2019,255.5,7.1,279.53,5.5,cactus19,3,ACARAU,HIGINO DE SOUZA BRANDAO EEIEF,285.424867874472,60.288840270479497,Intermediário,16.6666666666667,22.2222222222222,27.7777777777778,33.3333333333333,19,18,94.736842105263193,0.94736842105263197,5.5212433937235801,0.69444444444444497,3,4,5,6,3.63239696955499,3.9662653437681001
2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2017,208.49,5.7,279.55,5.3,cactus19,3,ACARAU,DONA EULINA MAGALHAES EEIEF,277.80665508551601,48.490256908803801,Intermediário,14.285714285714301,32.142857142857103,39.285714285714299,14.285714285714301,29,28,96.551724137931004,0.96551724137931005,5.1403327542757902,0.63392857142857195,4,9,11,4,3.1462381513239799,3.6622192058114802
2300200,Acaraú,23000791,Dona Eulina Magalhaes Eef,Municipal,2019,201.46,4.9,259.49,4.8,cactus19,3,ACARAU,DONA EULINA MAGALHAES EEF,267.58939673972401,51.249403239372597,Crítico,15.384615384615399,46.153846153846203,23.076923076923102,15.384615384615399,25,26,104,1,4.6294698369861802,0.59615384615384603,4,12,6,4,2.7598762489725299,3.6600637262007298
2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2017,252.6,7,264.44,5.1,não cactus,3,ACARAU,SOFIA NUNES DE FREITAS EEIEF,277.86394122834298,59.201626431514697,Intermediário,25,25,25,25,16,16,100,1,5.1431970614171503,0.625,4,4,4,4,3.2144981633857199,3.8586953013445902
2300200,Acaraú,23000830,Sofia Nunes De Freitas Eeief,Municipal,2019,232.24,6.3,266.63,5.1,não cactus,3,ACARAU,SOFIA NUNES DE FREITAS EEIEF,275.09248638114002,50.569475281830101,Intermediário,16.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,24,24,100,1,5.0046243190570001,0.625,4,8,8,4,3.1278901994106301,4.1879985461211602
