,Sigla da UF,Código do Município,Nome do Município_x,Código da Escola,Nome da Escola,Rede,ano,MT_5o,IDEB_5o,MT_9o,IDEB_9o,Nome do Município_y,cactus
91,CE,2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2011,,,,,Acaraú,não cactus
92,CE,2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2013,,,,,Acaraú,não cactus
93,CE,2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2015,,,,,Acaraú,não cactus
94,CE,2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2017,,,,,Acaraú,não cactus
95,CE,2300200,Acaraú,23000031,Albertina Elisa De Moura Chaves Eeief,Municipal,2019,,,,,Acaraú,não cactus
96,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2005,,,,,Acaraú,não cactus
97,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2007,,,,,Acaraú,não cactus
98,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2009,159.99,3.6,,,Acaraú,não cactus
99,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2011,,,,,Acaraú,não cactus
100,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2013,,,,,Acaraú,não cactus
101,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2015,,,,,Acaraú,não cactus
102,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2017,,,,,Acaraú,não cactus
103,CE,2300200,Acaraú,23000066,Coraci Soares De Sousa Eeief,Municipal,2019,,,,,Acaraú,não cactus
104,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2005,,,,,Acaraú,não cactus
105,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2007,,,,,Acaraú,não cactus
106,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2009,189.12,4.5,,,Acaraú,não cactus
107,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2011,,,,,Acaraú,não cactus
108,CE,2300200,Acaraú,23000074,Anselmo Jose Da Silveira Eeief,Municipal,2013,,,,,Acaraú,não cactus
