ID_ESCOLA,reprovacao,carro,superior,ano,porc_sexo_masc,porc_cor_prePar,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF
23052740,0.2,0.4,0,2019,0.5238095238095238,0.8571428571428571,3,2,Nível III,21
23052945,0.23076923076923078,0.15384615384615385,0.15384615384615385,2019,0.3666666666666666,0.9,3,2,Nível II,30
23052996,0.25,0.25,0.1875,2019,0.65,0.6,3,2,Nível III,20
23053046,0.1111111111111111,0.1111111111111111,0,2019,0.5,0.4,3,2,Nível II,20
23053135,0.2857142857142857,0.2857142857142857,0.07142857142857142,2019,0.6470588235294118,0,3,2,Nível III,17
23053348,0.46564885496183206,0.17557251908396945,0.07633587786259542,2019,0.4805194805194805,0.4415584415584415,3,1,Nível III,154
23053623,0.42857142857142855,0.2857142857142857,0.07142857142857142,2019,0.46875,0.40625,3,2,Nível III,32
23053771,0.5,0.21428571428571427,0.07142857142857142,2019,0.5,0.5625,3,2,Nível II,16
23054182,0.3333333333333333,0.2222222222222222,0.2222222222222222,2019,0.5,0.4,3,2,Nível III,10
23054212,0.09090909090909091,0.13636363636363635,0.13636363636363635,2019,0.2592592592592592,0.9629629629629629,3,2,Nível II,27
23054220,0,0.07692307692307693,0.15384615384615385,2019,0.5714285714285714,0.7857142857142857,3,2,Nível II,14
23054255,0.09523809523809523,0.14285714285714285,0.19047619047619047,2019,0.5652173913043478,0.7391304347826086,3,2,Nível III,23
23054280,0.19047619047619047,0.23809523809523808,0,2019,0.3478260869565217,0.9130434782608695,3,2,Nível II,23
23054328,0.14814814814814814,0.14814814814814814,0,2019,0.4838709677419355,0.9032258064516129,3,1,Nível II,62
23054352,0.13636363636363635,0.09090909090909091,0,2019,0.4761904761904762,0.8571428571428571,3,2,Nível III,21
23054450,0.3488372093023256,0.16279069767441862,0.023255813953488372,2019,0.5454545454545454,0.8181818181818182,3,1,Nível III,44
23054603,0.21428571428571427,0.21428571428571427,0,2019,0.25,0.6875,3,2,Nível III,16
23054743,0.23076923076923078,0.23076923076923078,0.15384615384615385,2019,0.5714285714285714,0.5,3,2,Nível II,14
23054751,0.16,0.14666666666666667,0.06666666666666667,2019,0.4597701149425287,0.6551724137931034,3,1,Nível II,87
23054824,0.3076923076923077,0.46153846153846156,0,2019,0.5384615384615384,0.1538461538461539,3,2,Nível II,13
23055111,0.058823529411764705,0.20588235294117646,0.11764705882352941,2019,0.5,0.4705882352941176,3,1,Nível III,34
23055260,0.16666666666666666,0.16666666666666666,0.05555555555555555,2019,0.3888888888888889,0.1111111111111111,3,2,Nível II,18
23055340,0.09090909090909091,0.18181818181818182,0,2019,0.4615384615384616,0.3846153846153846,3,1,Nível II,13
23055375,0.2,0.3333333333333333,0.13333333333333333,2019,0.4,0.2666666666666667,3,2,Nível III,15
23055626,0.3541666666666667,0.22916666666666666,0.0625,2019,0.4905660377358491,1,3,1,Nível III,53
23055685,0.13953488372093023,0.23255813953488372,0.13953488372093023,2019,0.4318181818181818,0.8863636363636364,3,2,Nível III,44
23055847,0.1794871794871795,0.23076923076923078,0.05128205128205128,2019,0.5581395348837209,0.6511627906976745,3,2,Nível III,43
23056053,0.3333333333333333,0.16666666666666666,0,2019,0.3571428571428572,0.8571428571428571,3,2,Nível II,14
23056061,0.29411764705882354,0.058823529411764705,0.17647058823529413,2019,0.4705882352941176,0.8823529411764706,3,2,Nível II,17
23056215,0.1,0.15,0.1,2019,0.4,0.65,3,2,Nível II,20
23056371,0.058823529411764705,0.23529411764705882,0.17647058823529413,2019,0.6666666666666666,0.7222222222222222,3,2,Nível III,18
23056525,0,0.3,0.1,2019,0.3,0.5,3,1,Nível III,10
23056665,0.2608695652173913,0.2608695652173913,0.043478260869565216,2019,0.5185185185185185,0.3703703703703703,3,2,Nível III,27
23056681,0.1,0.3,0.2,2019,0.6153846153846154,0.7692307692307693,3,2,Nível II,13
23056738,0.16666666666666666,0.3333333333333333,0,2019,0.65,0.45,3,2,Nível II,20
23056797,0.14814814814814814,0.2962962962962963,0.037037037037037035,2019,0.52,0.2,3,2,Nível III,25
23056800,0.09090909090909091,0.36363636363636365,0.09090909090909091,2019,0.625,0.5833333333333334,3,2,Nível III,24
23056819,0.06666666666666667,0.23333333333333334,0.06666666666666667,2019,0.5675675675675675,0.2702702702702703,3,2,Nível III,37
23056843,0.11428571428571428,0.08571428571428572,0.11428571428571428,2019,0.5405405405405406,0.2972972972972973,3,2,Nível III,37
23056886,0.16129032258064516,0.1935483870967742,0.03225806451612903,2019,0.5588235294117647,0.2058823529411765,3,1,Nível IV,34
23056932,0.1111111111111111,0.1111111111111111,0.037037037037037035,2019,0.4571428571428571,0.7714285714285715,3,1,Nível III,35
23056983,0.06666666666666667,0.2,0.2,2019,0.4117647058823529,0,3,2,Nível III,17
23056991,0.09090909090909091,0.2727272727272727,0.09090909090909091,2019,0.25,0.5833333333333334,3,2,Nível II,12
23057092,0.16666666666666666,0.16666666666666666,0.05555555555555555,2019,0.3888888888888889,0.1111111111111111,3,2,Nível III,18
23057211,0.1875,0.40625,0.03125,2019,0.5294117647058824,0.6764705882352942,3,2,Nível III,34
23057220,0.14285714285714285,0.42857142857142855,0.047619047619047616,2019,0.3703703703703703,0.8148148148148148,3,2,Nível III,27
23057378,0.3,0.4,0.075,2019,0.4772727272727273,0.5681818181818182,3,1,Nível III,44
23057491,0.32558139534883723,0.3372093023255814,0.05813953488372093,2019,0.5888888888888889,0.8777777777777778,3,1,Nível III,90
23057548,0.16666666666666666,0.3333333333333333,0.08333333333333333,2019,0.6666666666666666,0.75,3,2,Nível III,12
23057556,0.21739130434782608,0.7391304347826086,0.17391304347826086,2019,0.3076923076923077,0.8076923076923077,3,1,Nível IV,26
23057653,0.1875,0.375,0.0625,2019,0.4375,0.8125,3,2,Nível IV,16
23057688,0.3076923076923077,0.46153846153846156,0,2019,0.5384615384615384,0.5769230769230769,3,2,Nível IV,26
23057750,0.3076923076923077,0.358974358974359,0.02564102564102564,2019,0.5,0.7045454545454546,3,1,Nível III,44
23057858,0.2,0.6,0.06666666666666667,2019,0.55,0.8,3,1,Nível III,20
23057874,0.13157894736842105,0.5,0.05263157894736842,2019,0.5897435897435898,0.6923076923076923,3,2,Nível IV,39
23057939,0.46153846153846156,0.3076923076923077,0.07692307692307693,2019,0.6666666666666666,0.7333333333333333,3,1,Nível III,15
23057971,0.125,0.3125,0.10416666666666667,2019,0.5192307692307693,0.7115384615384616,3,1,Nível III,52
23057980,0.3,0.16666666666666666,0,2019,0.625,0.71875,3,2,Nível III,32
23058005,0.30303030303030304,0.3484848484848485,0.13636363636363635,2019,0.5454545454545454,0.7142857142857143,3,1,Nível III,77
23058048,0.3888888888888889,0.4444444444444444,0.16666666666666666,2019,0.6521739130434783,0.5652173913043478,3,2,Nível IV,23
23058242,0.3684210526315789,0.3157894736842105,0.10526315789473684,2019,0.45,1,3,2,Nível III,20
23058315,0.22580645161290322,0.3225806451612903,0.12903225806451613,2019,0.5625,0.84375,3,2,Nível III,32
23058331,0.14285714285714285,0.19047619047619047,0.047619047619047616,2019,0.4615384615384616,0.6923076923076923,3,1,Nível III,26
23058366,0.2608695652173913,0.391304347826087,0.13043478260869565,2019,0.6,0.76,3,2,Nível III,25
23058579,0.3225806451612903,0.3548387096774194,0.12903225806451613,2019,0.5806451612903226,1,3,2,Nível III,31
23058609,0.08333333333333333,0.4583333333333333,0.125,2019,0.3666666666666666,0.9,3,2,Nível III,30
23058617,0.358974358974359,0.41025641025641024,0.15384615384615385,2019,0.4222222222222222,0.7111111111111111,3,2,Nível IV,45
23058668,0.25,0.2857142857142857,0.03571428571428571,2019,0.4324324324324325,0.8108108108108109,3,2,Nível III,37
23058692,0.23255813953488372,0.2558139534883721,0.11627906976744186,2019,0.4666666666666667,0.6888888888888889,3,2,Nível III,45
