id_escola,nome_escola,ano,nota_matematica,ideb,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_9EF,reprovacao,carro,superior,porc_sexo_masc,porc_cor_prePar,cactus,ID_MUNICIPIO,ano_cactus
23086076,CORACAO DE JESUS ESC CID,2017,239.51,3.9,3,2,NA,10,0,0,0.1,0.4,0.6,0,NA,0
23086106,FRANCISCO DE ALCANTARA BARROS ESC CID,2013,233.32,2.5,3,2,Grupo 2,22,0.4090909090909091,0.14285714285714285,0.045454545454545456,0.3181818181818182,0.5,0,2304103,0
23086106,FRANCISCO DE ALCANTARA BARROS ESC CID,2015,244.58,4.2,3,2,Médio Baixo,26,0.25,0.125,0,0.375,0.8333333333333334,0,2304103,0
23086106,FRANCISCO DE ALCANTARA BARROS ESC CID,2017,257.67,4.7,3,2,Grupo 2,22,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.42857142857142855,0.6190476190476191,0,2304103,0
23086106,FRANCISCO DE ALCANTARA BARROS ESC CID,2019,296.47,5.8,3,2,Nível II,43,0.1794871794871795,0.1794871794871795,0.10256410256410256,0.3255813953488372,0.6976744186046512,0,2304103,0
23086114,IMACULADA CONCEICAO ESC CID,2017,226.63,3.9,3,2,NA,15,0.3076923076923077,0,0,0.3076923076923077,0.9090909090909091,0,2304103,0
23086114,IMACULADA CONCEICAO ESC CID,2019,239.89,4.4,3,2,Nível III,11,0.5,0.2,0.1,0.5454545454545454,0.6363636363636364,0,2304103,0
23086130,JOAQUIM BRAZ DE OLIVEIRA ESC CID,2017,248.99,4.5,3,2,NA,21,0,0.14285714285714285,0.047619047619047616,0.42857142857142855,0.75,0,2304103,0
23086130,JOAQUIM BRAZ DE OLIVEIRA ESC CID,2019,271.2,4.8,3,2,Nível III,19,0.25,0.375,0.0625,0.2631578947368421,0.2105263157894737,0,2304103,0
23086220,MARIA BEZERRA DE SOUSA ESC CID,2017,245.91,5.1,3,2,Grupo 1,24,0,0.08333333333333333,0,0.25,0.7272727272727273,0,2304103,0
23086220,MARIA BEZERRA DE SOUSA ESC CID,2019,247.37,4.8,3,2,Nível II,16,0.3333333333333333,0.06666666666666667,0,0.4375,0.8125,0,2304103,0
23086238,SANTANA ESC CID DE,2017,254.48,4.4,3,2,NA,21,0.10526315789473684,0.35294117647058826,0.058823529411764705,0.4375,0.6,0,2304103,0
23086238,SANTANA ESC CID DE,2019,309.98,6.3,3,2,Nível III,13,0.4166666666666667,0.08333333333333333,0,0.5384615384615384,0.5384615384615384,0,2304103,0
23086360,JOAO LUCIANO ESC CID,2017,213.6,3.7,3,2,NA,10,0,0.4,0,0.7,0.6,0,2304103,0
23086360,JOAO LUCIANO ESC CID,2019,263.63,5.4,3,2,Nível III,13,0.23076923076923078,0.15384615384615385,0,0.5384615384615384,0.4615384615384616,0,2304103,0
23086378,SAO JOSE ESC CID,2013,226.23,3.8,3,2,Grupo 2,20,0.8095238095238095,0,0,0.5714285714285714,0.6363636363636364,0,2304103,0
23086378,SAO JOSE ESC CID,2017,250.77,4.9,3,2,NA,20,0.0625,0.05263157894736842,0,0.6842105263157895,0.6842105263157895,0,2304103,0
23086378,SAO JOSE ESC CID,2019,263.9,5.2,3,2,Nível II,21,0.14285714285714285,0.2857142857142857,0,0.6190476190476191,0.2380952380952381,0,2304103,0
23086491,SANTO ANTONIO ESC CID,2017,253.77,4.8,3,2,NA,17,0,0.3125,0.06666666666666667,0.5625,0.5,0,2304103,0
23086491,SANTO ANTONIO ESC CID,2019,276.48,5.2,3,2,Nível III,19,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.5263157894736842,0.1578947368421053,0,2304103,0
23086513,ANTONIO CIPRIANO DE MIRANDA ESC CID,2015,259.59,5,3,2,Baixo,23,0.3181818181818182,0.18181818181818182,0,0.45454545454545453,0.5,0,2304103,0
23086513,ANTONIO CIPRIANO DE MIRANDA ESC CID,2019,303.43,6.3,3,2,Nível II,16,0.25,0.125,0,0.25,0,0,2304103,0
23086696,JOSE DE ARAUJO VERAS ESC CID,2013,222.22,3.9,3,2,Grupo 2,33,0.3125,0.09375,0.16666666666666666,0.4375,0.75,0,2304103,0
23086696,JOSE DE ARAUJO VERAS ESC CID,2015,261.45,5.3,3,2,Baixo,22,0.4,0.05,0,0.3,0.75,0,2304103,0
23086696,JOSE DE ARAUJO VERAS ESC CID,2019,276.99,5.5,3,2,Nível II,46,0.2857142857142857,0.16666666666666666,0,0.4782608695652174,0.06521739130434782,0,2304103,0
23199784,LUTANDO PARA VENCER ESC CID,2017,228.65,4.1,3,2,NA,14,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.6923076923076923,0.3076923076923077,0,NA,0
23210869,JOSE FREIRE FILHO ESC CID,2013,235.36,3.8,3,1,Grupo 2,23,0.43478260869565216,0.08695652173913043,0,0.5217391304347826,0.6,0,2304103,0
23210869,JOSE FREIRE FILHO ESC CID,2015,251,4.7,3,1,Médio Baixo,24,0.48,0.16,0,0.44,0.56,0,2304103,0
23210869,JOSE FREIRE FILHO ESC CID,2017,227.01,3.8,3,1,Grupo 2,40,0.08333333333333333,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.6944444444444444,0,2304103,0
23210869,JOSE FREIRE FILHO ESC CID,2019,243.53,4.3,3,1,Nível III,38,0.27586206896551724,0.27586206896551724,0.034482758620689655,0.3947368421052632,0.3684210526315789,0,2304103,0
23210877,FRANCISCO CARLOS DE PINHO ESC CID,2017,267.38,5.5,3,2,NA,16,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.5,0.5384615384615384,0,2304103,0
23210877,FRANCISCO CARLOS DE PINHO ESC CID,2019,287.62,5.5,3,2,Nível II,20,0.2,0.15,0,0.65,0.4,0,2304103,0
23211130,ANTONIO ANISIO DA FROTA CAIC ESC CID,2013,218.63,3.4,3,1,Grupo 2,34,0.4375,0.125,0,0.45161290322580644,0.59375,0,2304103,0
23211130,ANTONIO ANISIO DA FROTA CAIC ESC CID,2015,244.35,4,3,1,Médio Baixo,30,0.32142857142857145,0.03571428571428571,0.037037037037037035,0.6071428571428571,0.75,0,2304103,0
